item,unit,unit_cost,opening_qty,purchases,closing_qty,opening_value,purchases_value,closing_value
Coffee Beans (kg),kg,28.0,15,200,12,420.0,5600.0,336.0
Full Cream Milk (L),litre,1.8,40,580,35,72.0,1044.0,63.0
Oat Milk (L),litre,2.5,20,280,18,50.0,700.0,45.0
Almond Milk (L),litre,3.0,10,140,9,30.0,420.0,27.0
Soy Milk (L),litre,2.2,12,170,10,26.4,374.0,22.0
Chai Concentrate (L),litre,12.0,4,50,3,48.0,600.0,36.0
Sugar Syrup (L),litre,8.0,3,40,2,24.0,320.0,16.0
Disposable Cups 8oz,unit,0.18,200,2800,150,36.0,504.0,27.0
Disposable Cups 12oz,unit,0.22,300,3800,250,66.0,836.0,55.0
Lids,unit,0.08,500,7200,400,40.0,576.0,32.0
Croissants (each),unit,1.5,30,950,25,45.0,1425.0,37.5
Banana Bread (loaf),unit,4.5,10,290,8,45.0,1305.0,36.0
Sourdough Bread (loaf),unit,5.0,8,190,6,40.0,950.0,30.0
Free Range Eggs (dozen),dozen,6.5,5,95,4,32.5,617.5,26.0
Avocados (each),unit,1.2,15,380,10,18.0,456.0,12.0
Smoked Salmon (kg),kg,32.0,2,38,1.5,64.0,1216.0,48.0
Hollandaise Sauce (kg),kg,14.0,2,28,1.5,28.0,392.0,21.0
Mixed Greens (kg),kg,8.0,3,58,2,24.0,464.0,16.0
Butter (kg),kg,9.0,2,38,1.5,18.0,342.0,13.5
Take-away Bags,unit,0.12,200,3800,180,24.0,456.0,21.6
Napkins (pack),unit,3.5,5,95,4,17.5,332.5,14.0
Cleaning Supplies,unit,2.0,10,55,8,20.0,110.0,16.0
